duel_id,map_name,tick,attacker_steamid,attacker_name,attacker_team,victim_steamid,victim_name,victim_team,weapon,headshot,penetrated,attacker_x,attacker_y,attacker_z,victim_x,victim_y,victim_z,distance_3d,attacker_view_error_deg,victim_view_error_deg,attacker_hp_at_kill,victim_hp_at_kill,victim_died,attacker_in_smoke,victim_in_smoke,smoke_between_players,active_smoke_count
76561198160709585_vs_76561198288540801_at_23127,de_ancient,23127,76561198160709585,sjuush,CT,76561198288540801,Patsi,TERRORIST,mp9,True,0,856.984619140625,-1406.775390625,5.925318241119385,1379.21044921875,-411.72772216796875,62.02843475341797,1125.1609839418327,0.517479698490495,110.60788223827187,100,0,True,False,False,False,1
76561198160709585_vs_76561198127236290_at_23145,de_ancient,23145,76561198160709585,sjuush,CT,76561198127236290,Qikert,TERRORIST,mp9,True,0,854.6642456054688,-1405.5423583984375,5.5399932861328125,1139.66845703125,-882.1781005859375,9.03125,595.9444066014065,3.7068206277995674,71.29856215935459,100,0,True,False,False,False,1
76561198799340122_vs_76561198253670517_at_23274,de_ancient,23274,76561198799340122, degster,CT,76561198253670517,BELCHONOKK,TERRORIST,mp9,True,0,1156.232177734375,263.7421569824219,130.53125,1224.1824951171875,-651.015380859375,12.923717498779297,924.7865323261564,2.07642991155342,6.954818856475011,100,0,True,False,False,False,1
76561198057282432_vs_76561198845426189_at_23683,de_ancient,23683,76561198057282432,kyxsan,CT,76561198845426189, alpha,TERRORIST,mp9,True,0,473.98211669921875,-359.4285888671875,189.03125,314.93170166015625,-508.614501953125,172.03125,218.7292188697773,1.9908273212643304,1.864362976723469,46,0,True,False,False,False,1
76561198053126645_vs_76561198288540801_at_28473,de_ancient,28473,76561198053126645,NertZ,CT,76561198288540801,Patsi,TERRORIST,ak47,True,0,-259.77197265625,-742.391357421875,164.03125,1059.842041015625,-891.3065185546875,9.031251907348633,1337.0048128945268,8.365646306617569,0.3723433630248385,48,0,True,False,False,False,2
76561198253670517_vs_76561198053126645_at_28517,de_ancient,28517,76561198253670517,BELCHONOKK,TERRORIST,76561198053126645,NertZ,CT,deagle,False,2,227.59466552734375,-728.7367553710938,153.03125,-258.8297119140625,-740.2141723632812,164.03125,486.68409268238076,6.22664416828871,14.313264283830208,22,0,True,False,False,False,2
76561198799340122_vs_76561198253670517_at_28704,de_ancient,28704,76561198799340122, degster,CT,76561198253670517,BELCHONOKK,TERRORIST,ak47,False,0,-285.69580078125,-695.5150146484375,164.03125,126.81672668457031,-857.0693969726562,153.03125,443.15618439146147,2.775889154201618,1.979239969401146,47,0,True,False,False,False,1
76561198799340122_vs_76561198845426189_at_28736,de_ancient,28736,76561198799340122, degster,CT,76561198845426189, alpha,TERRORIST,ak47,True,0,-286.0714111328125,-696.4465942382812,164.03125,194.39300537109375,-842.9116821289062,153.03125,502.41325370380866,11.55008598758434,0.5487780590189707,47,0,True,False,False,False,1
76561198127236290_vs_76561198799340122_at_28819,de_ancient,28819,76561198127236290,Qikert,TERRORIST,76561198799340122, degster,CT,p250,False,0,99.11714935302734,-894.8599853515625,154.8889923095703,-306.3121337890625,-600.3754272460938,164.03125,501.1762558894428,4.321006011446091,54.42728593885657,100,0,True,False,False,False,1
76561197996678278_vs_76561198156778414_at_31314,de_ancient,31314,76561197996678278,TeSeS,CT,76561198156778414,ArtFr0st,TERRORIST,ak47,False,0,1168.0106201171875,240.35105895996094,130.53125,1244.246826171875,-442.89422607421875,52.5001220703125,691.8995126180025,9.487480142197741,1.603670242391458,32,0,True,False,False,False,1
76561198160709585_vs_76561198127236290_at_31481,de_ancient,31481,76561198160709585,sjuush,CT,76561198127236290,Qikert,TERRORIST,ak47,False,0,-220.1251220703125,-878.2216186523438,164.03125,1174.0079345703125,-696.80419921875,10.638803482055664,1414.230710436185,3.519098513911724,97.49327152979603,100,0,True,False,False,False,1
76561198053126645_vs_76561198845426189_at_34095,de_ancient,34095,76561198053126645,NertZ,CT,76561198845426189, alpha,TERRORIST,ak47,True,0,170.859130859375,-885.33447265625,153.36471557617188,406.8587646484375,-788.4345703125,132.2655792236328,255.98943684773974,4.884290097907928,3.518844362892302,70,0,True,False,False,False,5
76561198253670517_vs_76561198160709585_at_34265,de_ancient,34265,76561198253670517,BELCHONOKK,TERRORIST,76561198160709585,sjuush,CT,ak47,True,0,-1198.306396484375,-894.1763916015625,37.897891998291016,-651.0794067382812,-588.9979858398438,36.068267822265625,626.5736869470829,3.5546740703581614,6.511952122527161,99,0,True,True,False,True,5
76561198288540801_vs_76561197996678278_at_37313,de_ancient,37313,76561198288540801,Patsi,TERRORIST,76561197996678278,TeSeS,CT,ak47,True,0,-1178.1947021484375,792.7280883789062,52.60017395019531,-997.7978515625,1079.5687255859375,66.03125,339.117927362321,0.47303423183291815,1.661137540191049,89,0,True,False,False,False,0
76561197996678278_vs_76561198845426189_at_45159,de_ancient,45159,76561197996678278,TeSeS,CT,76561198845426189, alpha,TERRORIST,m4a1,False,0,490.3921813964844,-124.67669677734375,152.65475463867188,416.8161315917969,-174.15948486328125,158.61468505859375,88.86789179579971,3.281523146838223,2.2828396595283884,94,0,True,False,False,False,2
76561198057282432_vs_76561198127236290_at_45252,de_ancient,45252,76561198057282432,kyxsan,CT,76561198127236290,Qikert,TERRORIST,m4a1_silencer,True,0,1395.9674072265625,557.0527954101562,132.12867736816406,686.46435546875,-210.703125,131.32968139648438,1045.3919705895287,1.4654656814734173,0.9065550937147376,100,0,True,False,False,False,2
76561198253670517_vs_76561198057282432_at_45441,de_ancient,45441,76561198253670517,BELCHONOKK,TERRORIST,76561198057282432,kyxsan,CT,ak47,False,0,1095.393798828125,33.32548141479492,134.03125,1270.9326171875,583.1800537109375,125.0400619506836,577.2649035655274,5.167718159907481,5.363139384025643,76,0,True,False,False,False,2
76561198288540801_vs_76561197996678278_at_45542,de_ancient,45542,76561198288540801,Patsi,TERRORIST,76561197996678278,TeSeS,CT,ak47,False,0,1220.5797119140625,-8.149169921875,154.23779296875,754.930908203125,203.8900604248047,134.03125,512.0524855736836,5.647243015361929,10.44016207339005,100,0,True,False,False,False,2
76561198053126645_vs_76561198253670517_at_45545,de_ancient,45545,76561198053126645,NertZ,CT,76561198253670517,BELCHONOKK,TERRORIST,ak47,False,0,1199.00732421875,795.5404052734375,117.1374740600586,1144.8165283203125,-55.48846435546875,142.62771606445312,853.1333610517189,2.35387549143662,58.09716815064179,100,0,True,False,False,False,2
76561198288540801_vs_76561198053126645_at_45633,de_ancient,45633,76561198288540801,Patsi,TERRORIST,76561198053126645,NertZ,CT,ak47,True,0,1117.9437255859375,5.690880298614502,135.06198120117188,1311.1719970703125,701.4654541015625,123.59860229492188,722.1986094610412,3.160426347301906,1.882113762614182,100,0,True,False,False,False,2
76561198288540801_vs_76561198160709585_at_45966,de_ancient,45966,76561198288540801,Patsi,TERRORIST,76561198160709585,sjuush,CT,ak47,True,0,1278.364990234375,463.20477294921875,124.5172119140625,1114.5347900390625,906.7870483398438,109.3648910522461,473.112209062776,2.0393107938155377,8.71264096834967,96,0,True,False,False,False,1
76561198156778414_vs_76561198799340122_at_49190,de_ancient,49190,76561198156778414,ArtFr0st,TERRORIST,76561198799340122, degster,CT,awp,False,0,737.8275146484375,-262.24261474609375,136.54486083984375,674.9633178710938,576.6309814453125,122.68955993652344,841.339876023171,2.0902459637410797,3.600469277058261,74,0,True,False,False,False,0
